国,クリック数,表示回数,CTR,掲載順位
日本,813,10539,7.71%,9.09
オランダ,1,7,14.29%,6.57
台湾,1,6,16.67%,9.33
ベトナム,1,4,25%,10
マレーシア,1,3,33.33%,8.67
米国,0,151,0%,9.01
ドイツ,0,12,0%,10.33
カナダ,0,8,0%,7.62
メキシコ,0,7,0%,6.57
タイ,0,7,0%,13.29
フランス,0,5,0%,6.2
韓国,0,5,0%,13.2
香港,0,5,0%,18.8
中国,0,4,0%,16.75
インドネシア,0,3,0%,3.67
イスラエル,0,3,0%,8
オーストラリア,0,3,0%,8.33
イギリス,0,3,0%,21.67
チリ,0,2,0%,7
スウェーデン,0,2,0%,7.5
ブラジル,0,2,0%,8.5
インド,0,2,0%,13.5
アラブ首長国連邦,0,1,0%,1
イラク,0,1,0%,1
ニカラグア,0,1,0%,4
フィリピン,0,1,0%,4
バーレーン,0,1,0%,5
ポーランド,0,1,0%,5
チェキア,0,1,0%,7
デンマーク,0,1,0%,7
スペイン,0,1,0%,7
トルコ,0,1,0%,7
アイルランド,0,1,0%,8
ニュージーランド,0,1,0%,8
セルビア,0,1,0%,8
パキスタン,0,1,0%,9
ウクライナ,0,1,0%,9
スイス連邦,0,1,0%,10
ロシア,0,1,0%,10
フィンランド,0,1,0%,12
トルクメニスタン,0,1,0%,12
ルーマニア,0,1,0%,15
イタリア,0,1,0%,19
