日付,クリック数,表示回数,CTR,掲載順位
2026-06-09,25,326,7.67%,8.4
2026-06-10,28,380,7.37%,9
2026-06-11,23,396,5.81%,8.9
2026-06-12,28,320,8.75%,8.5
2026-06-13,28,314,8.92%,9.3
2026-06-14,29,387,7.49%,9.7
2026-06-15,20,332,6.02%,10.3
2026-06-16,28,375,7.47%,9.3
2026-06-17,27,370,7.3%,8.7
2026-06-18,27,376,7.18%,9.2
2026-06-19,22,293,7.51%,9.4
2026-06-20,20,337,5.93%,8.4
2026-06-21,31,404,7.67%,8.9
2026-06-22,33,384,8.59%,9.1
2026-06-23,24,385,6.23%,9.8
2026-06-24,32,453,7.06%,8.9
2026-06-25,48,499,9.62%,9.6
2026-06-26,37,436,8.49%,9.2
2026-06-27,44,442,9.95%,8.1
2026-06-28,41,501,8.18%,8.8
2026-06-29,40,469,8.53%,9.1
2026-06-30,26,420,6.19%,9
2026-07-01,23,431,5.34%,8.9
2026-07-02,37,415,8.92%,9.7
2026-07-03,23,346,6.65%,8.8
2026-07-04,20,362,5.52%,9.6
2026-07-05,28,313,8.95%,8.8
2026-07-06,25,338,7.4%,9.3
