時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-07-08T08:00:00,0,2,0%,7
2026-07-08T09:00:00,1,12,8.33%,10.4
2026-07-08T10:00:00,1,15,6.67%,6.5
2026-07-08T11:00:00,0,25,0%,7
2026-07-08T12:00:00,2,16,12.5%,9.9
2026-07-08T13:00:00,0,17,0%,6.9
2026-07-08T14:00:00,4,34,11.76%,8.2
2026-07-08T15:00:00,0,21,0%,8.4
2026-07-08T16:00:00,0,23,0%,8.3
2026-07-08T17:00:00,6,36,16.67%,8.8
2026-07-08T18:00:00,2,21,9.52%,9.6
2026-07-08T19:00:00,1,35,2.86%,14.7
2026-07-08T20:00:00,1,25,4%,12.3
2026-07-08T21:00:00,6,43,13.95%,8.8
2026-07-08T22:00:00,1,24,4.17%,14.4
2026-07-08T23:00:00,1,15,6.67%,14.3
2026-07-09T00:00:00,1,7,14.29%,7.9
2026-07-09T01:00:00,0,6,0%,10.5
2026-07-09T02:00:00,0,0,0%,0
2026-07-09T03:00:00,0,0,0%,0
2026-07-09T04:00:00,0,8,0%,4.9
2026-07-09T05:00:00,0,0,0%,0
2026-07-09T06:00:00,0,1,0%,23
2026-07-09T07:00:00,0,0,0%,0
